"LOCATION","DRUG OFFENSES","PROPERTY OFFENSES","AGGRAVATED ASSUALT OFFENSES","VIOLENT OFFENSES","SEX OFFENSES","TOTAL"
"MSP","747","746","157","1,166","481"
"CMCF","823","1,031","160","762","321"
"SMCI","631","777","176","1,049","554"
"County Jails (approved)","698","626","38","76","58"
"Youthful Offender Facility","5","2","23","4"
"County Jails (unapproved)","8","147","9","22","11"
"Private Prisons","520","902","291","2,039","619"
"Regional Correctional Facilities","929","1,062","321","1,245","791"
"Community Work Centers","741","468","0","4","0"
"Community Trusties","0","0","0"
"Pending File Review","2","6","1","5","0"
"Court Order","134","127","13","56","13"
"TOTAL CUSTODY POPULATION","5,362","5,938","1,168","6,447","2,852"
"% OF TOTAL OFFENSES","24.63%","27.28%","5.37%","29.62%","13.10%"
"Intensive Supervison Program","629","744","11","41","5"
"Earned Release Supervision","507","548","189","359","8","1 7
8 5
1 4"
