"PAROLE STATISTICS","","","","","","",""
"BY RACE AND SEX","","","","","","",""
"","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","3,895","62.83%","","374","36.10%","4,269","59.00%"
"White","2,257","36.41%","","651","62.84%","2,908","40.19%"
"Hispanic","23",".37%","","8",".77%","31",".43%"
"Native American","9",".15%","","1",".10%","10",".14%"
"Asian","11",".18%","","1",".10%","12",".17%"
"Data Unavailable","4",".06%","","1",".10%","5",".07%"
"TOTAL","6,199","100.00%","","1,036","100.00%","7,235","100.00%"
"","","","BY OFFENSE","","","",""
"","","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","","OFFENDERS","OFFENDERS",""
"","","","Drug","","3,525","48.72%",""
"","","","Property","","2,910","40.22%",""
"","","","Aggravated Assault","","85","1.17%",""
"","","","Violent","","616","8.51%",""
"","","","Sex","","99","1.37%",""
"","","","TOTAL","","7,235","100.00%",""
