"PAROLE STATISTICS","","","","","","",""
"BY RACE AND SEX","","","","","","",""
"","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,591","62.19%","","410","35.50%","5,001","58.58%"
"White","2,736","37.06%","","731","63.29%","3,467","40.61%"
"Hispanic","29",".39%","","11",".95%","40",".47%"
"Native American","10",".14%","","1",".09%","11",".13%"
"Asian","13",".18%","","2",".17%","15",".18%"
"Data Unavailable","3",".04%","","0",".00%","3",".04%"
"TOTAL","7,382","100.00%","","1,155","100.00%","8,537","100.00%"
"","","","BY OFFENSE","","","",""
"","","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","","OFFENDERS","OFFENDERS",""
"","","","Drug","","4,160","48.73%",""
"","","","Property","","3,613","42.32%",""
"","","","Aggravated Assault","","124","1.45%",""
"","","","Violent","","533","6.24%",""
"","","","Sex","","107","1.25%",""
"","","","TOTAL","","8,537","100.00%",""
