"PAROLE STATISTICS","","","","","","",""
"BY RACE AND SEX","","","","","","",""
"","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,125","63.23%","","381","35.84%","4,506","59.39%"
"White","2,345","35.94%","","668","62.84%","3,013","39.71%"
"Hispanic","28",".43%","","10",".94%","38",".50%"
"Native American","11",".17%","","2",".19%","13",".17%"
"Asian","12",".18%","","1",".09%","13",".17%"
"Data Unavailable","3",".05%","","1",".09%","4",".05%"
"TOTAL","6,524","100.00%","","1,063","100.00%","7,587","100.00%"
"","","","BY OFFENSE","","","",""
"","","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","","OFFENDERS","OFFENDERS",""
"","","","Drug","","3,802","50.11%",""
"","","","Property","","2,970","39.15%",""
"","","","Aggravated Assault","","85","1.12%",""
"","","","Violent","","627","8.26%",""
"","","","Sex","","103","1.36%",""
"","","","TOTAL","","7,587","100.00%",""
