"PAROLE STATISTICS","","","","","","",""
"BY RACE AND SEX","","","","","","",""
"","","% OF","","","% OF","",""
"","","TOTAL MALE","","","TOTAL FEMALE","NO. OF","% OF TOTAL"
"RACE","MALE","POPULATION","","FEMALE","POPULATION","OFFENDERS","OFFENDERS"
"Black","4,278","63.32%","","388","35.43%","4,666","59.43%"
"White","2,424","35.88%","","692","63.20%","3,116","39.69%"
"Hispanic","23",".34%","","12","1.10%","35",".45%"
"Native American","11",".16%","","2",".18%","13",".17%"
"Asian","16",".24%","","1",".09%","17",".22%"
"Data Unavailable","4",".06%","","0",".00%","4",".05%"
"TOTAL","6,756","100.00%","","1,095","100.00%","7,851","100.00%"
"","","","BY OFFENSE","","","",""
"","","","","","NO. OF","% of TOTAL",""
"","","","OFFENSE","","OFFENDERS","OFFENDERS",""
"","","","Drug","","3,961","50.45%",""
"","","","Property","","3,175","40.44%",""
"","","","Aggravated Assault","","105","1.34%",""
"","","","Violent","","509","6.48%",""
"","","","Sex","","101","1.29%",""
"","","","TOTAL","","7,851","100.00%",""
