"County","Offenders","Percent"
"Montgomery","6","0.6%"
"Alcorn","8","0.8%"
"Neshoba","19","1.9%"
"Amite","4","0.4%"
"Newton","8","0.8%"
"Attala","3","0.3%"
"Noxubee","1","0.1%"
"Benton","3","0.3%"
"Oktibbeha","17","1.7%"
"Bolivar","9","0.9%"
"Panola","14","1.4%"
"Calhoun","2","0.2%"
"Pearl","17","1.7%"
"Carroll","4","0.4%"
"Perry","2","0.2%"
"Chickasaw","3","0.3%"
"Pike","22","2.2%"
"Choctaw","1","0.1%"
"Pontotoc","23","2.3%"
"Claiborne","2","0.2%"
"Prentiss","11","1.1%"
"Clarke","6","0.6%"
"Quitman","3","0.3%"
"Clay","12","1.2%"
"+ Rankin","48","4.9%"
"Coahoma","12","1.2%"
"Scott","9","0.9%"
"Copiah","7","0.7%"
"Sharkey","2","0.2%"
"Covington","3","0.3%"
"Simpson","2","0.2%"
"+ Desoto","46","4.7%"
"Smith","7","0.7%"
"+ Forrest","30","3.1%"
"Stone","10","1.0%"
"Franklin","2","0.2%"
"Sunflower","5","0.5%"
"George","6","0.6%"
"Tallahatchie","3","0.3%"
"Greene","2","0.2%"
"Tate","12","1.2%"
"Grenada","11","1.1%"
"Tippah","3","0.3%"
"Hancock","22","2.2%"
"Tishomingo","4","0.4%"
"+ Harrison","99","10.1%"
"Tunica","7","0.7%"
"+ Hinds","48","4.9%"
"Union","17","1.7%"
"Holmes","4","0.4%"
"Walthall","6","0.6%"
"Itawamba","6","0.6%"
"Warren","17","1.7%"
"+ Jackson","38","3.9%"
"Washington","14","1.4%"
"Jasper","5","0.5%"
"Wayne","11","1.1%"
"Jeff Davis","1","0.1%"
"Webster","4","0.4%"
"Jefferson","1","0.1%"
"Wilkinson","1","0.1%"
"Jones","22","2.2%"
"Wilkinson","1","0.1%"
"Lafayette","6","0.6%"
"Winston","5","0.5%"
"Lamar","11","1.1%"
"Yalobusha","3","0.3%"
"+ Lauderdale","32","3.3%"
"Yazoo","6","0.6%"
"Lawrence","3","0.3%"
"Leake","7","0.7%"
"+ Lee","31","3.2%"
"Leflore","8","0.8%"
"Lincoln","10","1.0%"
"+ Lowndes","30","3.1%"
"+ Madison","28","2.9%"
"Marion","8","0.8%"
"Marshall","19","1.9%"
"Monroe","19","1.9%"
"TOTAL","982","100.0%"
