"Violation","Jul","Aug","Sep","Oct","Nov","Dec","Jan"
"Death By Inmate","0","0","0","0","0","0","0"
"Death/Accident","0","0","0","0","0","1","1"
"Death/Natural Causes","2","5","3","5","3","6","6"
"Death/Suicide","0","1","0","0","0","1","0"
"ERS","220","208","189","215","181","217","168"
"Expiration","130","111","146","143","148","171","185"
"House Arrest/ISP","7","81","69","62","81","3","112"
"Medical Release","0","3","0","0","1","1","0"
"Parole","187","188","160","170","141","123","181"
"Parole Continued","20","11","3","1","0","0","2"
"Probation","225","216","201","183","192","196","222"
"TOTAL","791","824","771","779","747","719","877"
