"County","Offenders","Percent"
"Adams","3","0.8%"
"Montgomery","4","1.1%"
"Alcorn","4","1.1%"
"Neshoba","5","1.4%"
"Amite","2","0.5%"
"Newton","5","1.4%"
"Attala","3","0.8%"
"Noxubee","1","0.3%"
"Benton","4","1.1%"
"Oktibbeha","6","1.6%"
"Bolivar","6","1.6%"
"Panola","2","0.5%"
"Calhoun","4","1.1%"
"Pearl River","9","2.5%"
"Carroll","1","0.3%"
"Perry","2","0.5%"
"Chickasaw","5","1.4%"
"Pike","4","1.1%"
"Choctaw","1","0.3%"
"Pontotoc","9","2.5%"
"Claiborne","1","0.3%"
"Rankin","19","5.2%"
"Clay","2","0.5%"
"Scott","6","1.6%"
"Coahoma","3","0.8%"
"Sharkey","3","0.8%"
"Copiah","5","1.4%"
"Simpson","1","0.3%"
"Desoto","20","5.5%"
"Smith","3","0.8%"
"Forrest","10","2.7%"
"Stone","5","1.4%"
"George","1","0.3%"
"Sunflower","2","0.5%"
"Greene","1","0.3%"
"Tallahatchie","1","0.3%"
"Grenada","2","0.5%"
"Tate","5","1.4%"
"Hancock","3","0.8%"
"Tippah","4","1.1%"
"Harrison","22","6.0%"
"Tishomingo","3","0.8%"
"Hinds","22","6.0%"
"Tunica","2","0.5%"
"Holmes","4","1.1%"
"Union","3","0.8%"
"Humphreys","1","0.3%"
"Warren","5","1.4%"
"Itawamba","5","1.4%"
"Washington","10","2.7%"
"Jackson","13","3.6%"
"Wayne","4","1.1%"
"Jones","7","1.9%"
"Winston","2","0.5%"
"Lafayette","4","1.1%"
"Yalobusha","2","0.5%"
"Lamar","6","1.6%"
"Yazoo","3","0.8%"
"Lauderdale","13","3.6%"
"Lawrence","4","1.1%"
"Lee","10","2.7%"
"Leflore","2","0.5%"
"Lincoln","4","1.1%"
"Lowndes","10","2.7%"
"Madison","12","3.3%"
"Marion","1","0.3%"
"Marshall","10","2.7%"
"Monroe","3","0.8%"
"TOTAL","364","100.00%"
