"County","Offenders","Percent"
"Adams","94","1.0%"
"Marshall","136","1.4%"
"Alcorn","107","1.1%"
"Monroe","134","1.4%"
"Amite","27","0.3%"
"Montgomery","30","0.3%"
"Attala","62","0.7%"
"Neshoba","116","1.2%"
"Benton","26","0.3%"
"Newton","73","0.8%"
"Bolivar","105","1.1%"
"Noxubee","18","0.2%"
"Calhoun","50","0.5%"
"Oktibbeha","176","1.9%"
"Carroll","18","0.2%"
"Panola","144","1.5%"
"Chickasaw","68","0.7%"
"Pearl River","181","1.9%"
"Choctaw","19","0.2%"
"Perry","40","0.4%"
"Claiborne","25","0.3%"
"Pike","218","2.3%"
"Clarke","42","0.4%"
"Pontotoc","107","1.1%"
"Clay","102","1.1%"
"Prentiss","90","0.9%"
"Coahoma","91","1.0%"
"Quitman","16","0.2%"
"Copiah","78","0.8%"
"+ Rankin","440","4.6%"
"Covington","30","0.3%"
"Scott","99","1.0%"
"+ Desoto","463","4.9%"
"Sharkey","16","0.2%"
"+ Forrest","373","3.9%"
"Simpson","41","0.4%"
"Franklin","12","0.1%"
"Smith","38","0.4%"
"George","74","0.8%"
"Stone","79","0.8%"
"Greene","17","0.2%"
"Sunflower","59","0.6%"
"Grenada","87","0.9%"
"Tallahatchie","39","0.4%"
"Hancock","131","1.4%"
"Tate","76","0.8%"
"+ Harrison","901","9.5%"
"Tippah","42","0.4%"
"+ Hinds","551","5.8%"
"Tishomingo","46","0.5%"
"Holmes","32","0.3%"
"Tunica","53","0.6%"
"Humphreys","17","0.2%"
"Union","90","0.9%"
"Itawamba","78","0.8%"
"Walthall","60","0.6%"
"+ Jackson","460","4.8%"
"Warren","153","1.6%"
"Jasper","20","0.2%"
"Washington","158","1.7%"
"Jeff Davis","23","0.2%"
"Wayne","73","0.8%"
"Jefferson","24","0.3%"
"Webster","18","0.2%"
"Jones","206","2.2%"
"Wilkinson","10","0.1%"
"Kemper","10","0.1%"
"Winston","35","0.4%"
"Lafayette","85","0.9%"
"Yalobusha","29","0.3%"
"Lamar","166","1.7%"
"Yazoo","42","0.4%"
"+ Lauderdale","317","3.3%"
"Pending","36","0.38%"
"Lawrence","30","0.3%"
"Out of State","4","0.04%"
"Leake","64","0.7%"
"+ Lee","342","3.6%"
"Leflore","73","0.8%"
"Lincoln","126","1.3%"
"+ Lowndes","285","3.0%"
"+ Madison","265","2.8%"
"Marion","105","1.1%"
"TOTAL","9496","100%"
