"Violation","Feb","Mar","Apr","May","Jun","TOTAL","PERCENT"
"Death by Inmate","0","0","1","0","1","2","0.0%"
"Death/Accident","0","0","1","0","0","3","0.0%"
"Death/Natural Causes","4","8","8","6","6","62","0.7%"
"Death/Suicide","0","2","0","0","0","4","0.0%"
"ERS","210","226","196","222","191","2443","25.7%"
"Expiration","168","175","148","198","171","1894","19.9%"
"House Arrest/ISP","6","76","69","67","91","724","7.6%"
"Medical Release","1","1","0","1","0","8","0.1%"
"Parole","149","120","157","200","190","1966","20.7%"
"Parole Continued","0","1","1","1","9","49","0.5%"
"Probation","218","171","177","193","147","2341","24.7%"
"TOTAL","756","780","758","888","806","9496","100%"
