"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","754","583","1404","474","3215"
"CMCF","917","923","956","322","3118"
"SMCI","845","792","1111","421","3169"
"County Jails (approved)","635","418","43","25","1121"
"County Jails (unapproved)","71","94","33","12","210"
"Private Prisons","706","1108","2601","794","5209"
"Regional Correctional Facilities","661","614","1141","579","2995"
"Community Work Centers","931","494","4","0","1429"
"Community Trusties","6","4","5","0","15"
"Pending File Review","48","39","9","2","98"
"Court Order","137","110","57","14","318"
"TOTAL CUSTODY POPULATION","5711","5179","7364","2643","20897"
"Intensive Supervison Program","858","738","44","8","1648"
"Earned Release Supervision","367","475","613","4","1459"
"Medical Release","22","14","6","0","42"
"Other Custody","139","135","88","13","375"
"At Large","9","22","8","0","39"
"Off-Grounds Medical (Hospital)","1","1","4","2","8"
"TOTAL","7107","6564","8127","2670","24468"
"% OF TOTAL_offenses","29.05%","26.83%","33.21%","10.91%","100.00%"
