"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,171","1,226","2,209","4,606"
"CMCF","1,002","1,121","911","3,034"
"SMCI","693","607","844","2,144"
"County Jails (approved)","765","722","207","1,694"
"County Jails (unapproved)","65","83","26","174"
"Private Prisons","974","1,250","2,520","4,744"
"Regional Correctional Facilities","921","620","1,189","2,730"
"Community Work Centers","998","722","2","1,722"
"Community Trusties","6","7","5","18"
"Pending File Review","98","141","29","268"
"TOTAL CUSTODY POPULATION","6,693","6,499","7,942","21,134"
"Intensive Supervison Program","509","875","22","1,406"
"Earned Release Supervision","724","722","302","1,748"
"Medical Release","2","1","1","4"
"Other Custody/At Large","115","152","78","345"
"Off-Grounds Medical (Hospital)","6","7","1","14"
"TOTAL","8,049","8,256","8,346","24,651"
"% OF TOTAL_offenses","32.65%","33.49%","33.86%","100.00%"
