"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","591","582","173","1261","501","3108"
"CMCF","496","517","106","703","247","2069"
"SMCI","458","538","109","839","477","2421"
"County Jails (approved)","571","339","25","85","55","1075"
"Youthful Offender Facility","0","1","5","18","3","27"
"County Jails (unapproved)","4","60","5","23","6","138"
"Private Prisons","494","600","294","2099","723","4210"
"Regional Correctional Facilities","726","717","361","1451","873","4128"
"Community Work Centers","640","420","0","8","0","1068"
"Community Trusties","8","1","0","0","0","9"
"Pending File Review","9","0","2","10","2","63"
"Court Order","92","104","15","41","6","258"
"TOTAL CUSTODY POPULATION","4149","3899","1095","6538","2893","18574"
"% OF TOTAL_offenses","22.34%","20.99%","5.90%","35.20%","15.58%","100.00%"
"Intensive Supervison Program","530","673","14","35","5","1257"
"Earned Release Supervision","277","160","161","402","5","1005"
"Medical Release","10","7","0","2","0","19"
"Other Custody","191","208","17","86","6","528"
"At Large","6","14","0","7","0","27"
"Off-Grounds Medical (Hospital)","2","3","1","2","1","9"
"TOTAL","5165","4964","1288","7072","2930","21419"
"% OF TOTAL_offenses","24.12%","23.18%","6.01%","33.02%","13.68%","100.00%"
