"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","729","608","1,279","439","3,055"
"CMCF","832","959","917","323","3,031"
"SMCI","800","819","1,073","455","3,147"
"County Jails (approved)","746","473","42","19","1,280"
"County Jails (unapproved)","129","185","68","23","405"
"Private Prisons","547","931","2,462","721","4,661"
"Regional Correctional Facilities","898","889","1,475","719","3,981"
"Community Work Centers","902","541","4","0","1,447"
"Community Trusties","5","4","5","0","14"
"Pending File Review","56","58","14","4","132"
"Court Order","134","132","51","11","328"
"TOTAL CUSTODY POPULATION","5,778","5,599","7,390","2,714","21,481"
"Intensive Supervison Program","845","739","51","7","1,642"
"Earned Release Supervision","465","551","635","5","1,656"
"Medical Release","13","6","4","0","23"
"Other Custody","173","141","78","16","408"
"At Large","8","21","8","0","37"
"Off-Grounds Medical (Hospital)","2","1","6","2","11"
"TOTAL","7,284","7,058","8,172","2,744","25,258"
"% OF TOTAL_offenses","28.84%","27.94%","32.35%","10.86%","100.00%"
