"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,284","1,093","2,082","4,459"
"CMCF","1,149","1,137","983","3,269"
"SMCI","637","546","742","1,925"
"County Jails (approved)","667","470","126","1,263"
"County Jails (unapproved)","30","28","13","71"
"Private Prisons","1,032","1,060","2,702","4,794"
"Regional Correctional Facilities","891","568","1,580","3,039"
"Community Work Centers","1,086","676","4","1,766"
"Community Trusties","8","4","5","17"
"Pending File Review","17","20","3","40"
"Court Order","142","163","53","358"
"TOTAL CUSTODY POPULATION","6,943","5,765","8,293","21,001"
"Intensive Supervison Program","584","922","43","1,549"
"Earned Release Supervision","682","601","332","1,615"
"Medical Release","5","2","3","10"
"Other Custody","116","122","77","315"
"At Large","32","86","21","139"
"Off-Grounds Medical (Hospital)","1","3","2","6"
