"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1137","1160","2183","4480"
"CMCF","969","1061","946","2976"
"SMCI","708","625","838","2171"
"County Jails (approved)","784","684","180","1648"
"County Jails (unapproved)","70","79","23","172"
"Private Prisons","1024","1174","2623","4821"
"Regional Correctional Facilities","883","574","1279","2736"
"Community Work Centers","1009","708","3","1720"
"Community Trusties","7","3","5","15"
"Pending File Review","92","188","50","330"
"TOTAL CUSTODY POPULATION","6683","6256","8130","21069"
"Intensive Supervison Program","553","954","28","1535"
"Earned Release Supervision","758","741","364","1863"
"Medical Release","3","2","2","7"
"Other Custody","117","108","60","285"
"At Large","32","55","14","101"
"Off-Grounds Medical (Hospital)","2","2","5","9"
"TOTAL","8148","8118","8603","24869"
"% OF TOTAL_offenses","32.76%","32.64%","34.59%","100.00%"
