"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1359","1381","2585","5325"
"CMCF","1048","1034","871","2953"
"SMCI","623","725","700","2048"
"County Jails (approved)","725","635","249","1609"
"County Jails (unapproved)","58","63","21","142"
"Private Prisons","890","920","1819","3629"
"Regional Correctional Facilities","804","499","735","2038"
"Community Work Centers","634","630","42","1306"
"Community Trusties","9","9","5","23"
"CUSTODY POPULATION","6150","5896","7027","19073"
"Intensive Supervison Program","348","1098","31","1477"
"Earned Release Supervision","365","477","149","991"
"Medical Release","0","0","0","0"
"Other Custody","52","86","75","213"
"At Large","25","60","10","95"
"University of MS Medical Center","1","2","3","6"
"TOTAL","6941","7619","7295","21855"
"% of Total Offenses","31.76%","34.86%","33.38%","100.00%"
