"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1415","1343","2835","5593"
"CMCF","1046","1022","966","3034"
"SMCI","680","748","731","2159"
"County Jails (approved)","819","789","296","1904"
"County Jails (unapproved)","74","108","47","229"
"Private Prisons","621","861","1919","3401"
"Regional Correctional Facilities","862","567","1055","2484"
"Community Work Centers","676","610","18","1304"
"Community Trusties","9","5","5","19"
"CUSTODY POPULATION","6202","6053","7872","20127"
"Intensive Supervison Program","446","1016","49","1511"
"Earned Release Supervision","380","527","187","1094"
"Medical Release","0","0","0","0"
"Other Custody","54","77","58","189"
"At Large","41","82","25","148"
"University of MS Medical Center","6","4","2","12"
"TOTAL","7129","7759","8193","23081"
"% of Total Offenses","30.89%","33.62%","35.50%","100.00%"
