"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","423","358","569","1906","3256"
"CMCF","1005","959","317","1369","3650"
"SMCI","551","494","548","1455","3048"
"Youthful Offender Facility","0","9","3","26","38"
"County Jails (approved)","379","167","12","161","719"
"County Jails (unapproved)","121","123","17","87","348"
"Private Prisons","261","282","574","2125","3242"
"Regional Correctional Facilities","561","474","787","1856","3678"
"Community Work Centers","364","158","0","139","661"
"Community Trusties","6","0","0","0","6"
"Pending File Review","49","46","7","40","142"
"Court Order","94","63","7","67","231"
"Transitional Housing","8","10","1","18","37"
"RRP","36","44","0","15","95"
"TVC","29","9","0","12","50"
"TOTAL CUSTODY POPULATION","3887","3196","2842","9276","19201"
"% OF TOTAL_offenses","20.24%","16.64%","14.80%","48.31%","100.00%"
"Intensive Supervison Program","303","394","10","71","778"
"Earned Release Supervision","67","36","8","472","583"
"Medical Release","11","1","0","2","14"
"Other Custody","144","170","26","118","458"
"At Large","7","12","0","7","26"
"Conditional Release","0","0","1","2","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","2","0","3","6","11"
"TOTAL","4423","3812","2891","9954","21080"
"% OF TOTAL_offenses","20.98%","18.08%","13.72%","47.22%","100.00%"
