"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","590","563","175","1265","508","3101"
"CMCF","577","570","110","678","249","2184"
"SMCI","454","559","117","837","486","2453"
"County Jails (approved)","570","331","19","70","49","1039"
"Youthful Offender Facility","1","0","4","14","3","22"
"County Jails (unapproved)","6","113","13","29","11","232"
"Private Prisons","457","582","290","1955","687","3971"
"Regional Correctional Facilities","737","737","369","1454","901","4198"
"Community Work Centers","642","397","0","4","0","1043"
"Community Trusties","5","0","0","0","0","5"
"Pending File Review","8","0","1","5","1","75"
"Court Order","80","97","20","44","10","251"
"TOTAL CUSTODY POPULATION","4207","3989","1118","6355","2905","18574"
"% OF TOTAL_offenses","22.65%","21.48%","6.02%","34.21%","15.64%","100.00%"
"Intensive Supervison Program","525","683","14","33","5","1260"
"Earned Release Supervision","264","141","161","402","5","973"
"Medical Release","9","6","0","2","0","17"
"Other Custody","198","220","27","75","6","536"
"At Large","6","14","0","7","0","27"
"Off-Grounds Medical (Hospital)","0","3","1","2","1","7"
"TOTAL","5209","5056","1321","6876","2932","21394"
"% OF TOTAL_offenses","24.35%","23.63%","6.17%","32.14%","13.71%","100.00%"
