"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1335","1317","3006","5658"
"CMCF","999","1087","1023","3109"
"SMCI","684","679","739","2102"
"County Jails (approved)","793","697","262","1752"
"County Jails (unapproved)","82","89","37","208"
"Private Prisons","691","983","1789","3463"
"Regional Correctional Facilities","912","626","1226","2764"
"Community Work Centers","861","641","6","1508"
"Community Trusties","10","7","5","22"
"CUSTODY POPULATION","6367","6126","8093","20586"
"Intensive Supervison Program","453","822","36","1311"
"Earned Release Supervision","544","498","243","1285"
"Medical Release","0","0","0","0"
"Other Custody","72","83","70","225"
"At Large","59","77","27","163"
"University of MS Medical Center","1","0","0","1"
"TOTAL","7496","7606","8469","23571"
"% of Total Offenses","31.80%","32.27%","35.93%","100.00%"
