"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1288","1062","2150","4500"
"CMCF","1226","1135","1022","3383"
"SMCI","851","714","910","2475"
"County Jails (approved)","730","522","138","1390"
"County Jails (unapproved)","58","46","19","123"
"Private Prisons","1045","1120","2700","4865"
"Regional Correctional Facilities","939","586","1534","3059"
"Community Work Centers","1182","579","6","1767"
"Community Trusties","7","4","5","16"
"Pending File Review","18","33","15","66"
"Court Order","130","131","56","317"
"TOTAL CUSTODY POPULATION","7474","5932","8555","21961"
"Intensive Supervison Program","526","862","42","1430"
"Earned Release Supervision","719","603","367","1689"
"Medical Release","4","2","2","8"
"Other Custody","128","103","68","299"
"At Large","23","49","21","93"
"Off-Grounds Medical (Hospital)","5","3","4","12"
