"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1275","1100","2107","4482"
"CMCF","1152","1136","985","3273"
"SMCI","696","577","787","2060"
"County Jails (approved)","713","503","140","1356"
"County Jails (unapproved)","67","54","12","133"
"Private Prisons","1052","1107","2715","4874"
"Regional Correctional Facilities","894","601","1575","3070"
"Community Work Centers","1128","620","2","1750"
"Community Trusties","8","3","5","16"
"Pending File Review","18","19","11","48"
"Court Order","122","152","53","327"
"TOTAL CUSTODY POPULATION","7125","5872","8392","21389"
"Intensive Supervison Program","581","934","38","1553"
"Earned Release Supervision","731","613","338","1682"
"Medical Release","4","2","3","9"
"Other Custody","129","105","73","307"
"At Large","35","68","24","127"
"Off-Grounds Medical (Hospital)","0","1","4","5"
