"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1258","1123","1964","4345"
"CMCF","1041","1063","944","3048"
"SMCI","713","607","852","2172"
"County Jails (approved)","617","504","120","1241"
"County Jails (unapproved)","8","10","3","21"
"Private Prisons","1037","1060","2709","4806"
"Regional Correctional Facilities","907","549","1556","3012"
"Community Work Centers","959","670","7","1636"
"Community Trusties","7","43","5","15"
"Pending File Review","2","4","3","9"
"Court Order","153","182","61","396"
"TOTAL CUSTODY POPULATION","6702","5775","8224","20701"
"Intensive Supervison Program","616","952","41","1609"
"Earned Release Supervision","736","750","335","1821"
"Medical Release","5","4","2","11"
"Other Custody","116","120","71","307"
"At Large","35","69","17","121"
"Off-Grounds Medical (Hospital)","2","1","2","5"
