"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1208","1126","1987","4321"
"CMCF","1033","1092","931","3056"
"SMCI","721","615","856","2192"
"County Jails (approved)","656","518","121","1295"
"County Jails (unapproved)","11","19","9","39"
"Private Prisons","1059","1075","2698","4832"
"Regional Correctional Facilities","899","568","1551","3018"
"Community Work Centers","971","687","5","1663"
"Community Trusties","7","43","5","15"
"Pending File Review","2","4","2","8"
"Court Order","145","149","50","344"
"TOTAL CUSTODY POPULATION","6712","5856","8215","20783"
"Intensive Supervison Program","620","1000","37","1657"
"Earned Release Supervision","732","751","349","1832"
"Medical Release","4","2","2","8"
"Other Custody","116","118","69","303"
"At Large","35","66","16","117"
"Off-Grounds Medical (Hospital)","0","3","3","6"
