"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1309","1804","2591","5704"
"CMCF","1011","1294","926","3231"
"SMCI","366","451","527","1344"
"County Jails (approved)","783","833","277","1893"
"County Jails (unapproved)","78","125","46","249"
"Private Prisons","683","1149","1602","3434"
"Regional Correctional Facilities","901","763","1082","2746"
"Community Work Centers","893","741","4","1638"
"Community Trusties","10","7","5","22"
"CUSTODY POPULATION","6034","7167","7060","20261"
"Intensive Supervison Program","436","805","40","1281"
"Earned Release Supervision","531","503","190","1224"
"Medical Release","0","0","0","0"
"Other Custody/At Large","79","115","72","266"
"TOTAL","7080","8590","7362","23032"
"% of Total Offenses","30.74%","37.30%","31.96%","100.00%"
