"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","727","648","1322","462","3159"
"CMCF","907","1001","987","317","3212"
"SMCI","825","757","1109","442","3133"
"County Jails (approved)","749","461","34","20","1264"
"County Jails (unapproved)","104","115","29","10","258"
"Private Prisons","684","1003","2643","793","5123"
"Regional Correctional Facilities","632","606","1179","602","3019"
"Community Work Centers","925","563","4","0","1492"
"Community Trusties","4","7","5","0","16"
"Pending File Review","46","53","6","2","107"
"Court Order","134","114","43","13","304"
"TOTAL CUSTODY POPULATION","5737","5328","7361","2661","21087"
"Intensive Supervison Program","861","734","40","7","1642"
"Earned Release Supervision","385","485","571","5","1446"
"Medical Release","21","10","6","0","37"
"Other Custody","149","134","90","13","386"
"At Large","8","22","8","0","38"
"Off-Grounds Medical (Hospital)","1","1","6","2","10"
"TOTAL","7162","6714","8082","2688","24646"
"% OF TOTAL_offenses","29.06%","27.24%","32.79%","10.91%","100.00%"
