"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1151","1139","2205","4495"
"CMCF","1011","1084","953","3048"
"SMCI","670","587","845","2102"
"County Jails (approved)","753","649","201","1603"
"County Jails (unapproved)","70","108","41","219"
"Private Prisons","970","1222","2549","4741"
"Regional Correctional Facilities","910","612","1208","2730"
"Community Work Centers","986","715","3","1704"
"Community Trusties","8","6","5","19"
"Pending File Review","102","160","41","303"
"TOTAL CUSTODY POPULATION","6631","6282","8051","20964"
"Intensive Supervison Program","529","869","28","1426"
"Earned Release Supervision","710","708","293","1711"
"Medical Release","2","1","2","5"
"Other Custody/At Large","121","161","75","357"
"Off-Grounds Medical (Hospital)","2","3","4","9"
"TOTAL","7995","8024","8453","24472"
"% OF TOTAL_offenses","32.67%","32.79%","34.54%","100.00%"
