"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,166","1,203","2,220","4,589"
"CMCF","976","1,028","903","2,907"
"SMCI","688","639","826","2,153"
"County Jails (approved)","741","660","174","1,575"
"County Jails (unapproved)","92","94","41","227"
"Private Prisons","1,002","1,175","2,601","4,778"
"Regional Correctional Facilities","892","578","1,263","2,733"
"Community Work Centers","988","709","4","1,701"
"Community Trusties","7","4","5","16"
"Pending File Review","102","180","40","322"
"TOTAL CUSTODY POPULATION","6,654","6,270","8,077","21,001"
"Intensive Supervison Program","555","955","26","1,536"
"Earned Release Supervision","758","771","358","1,887"
"Medical Release","3","2","2","7"
"Other Custody","113","102","58","273"
"At Large","35","60","15","110"
"Off-Grounds Medical (Hospital)","6","2","3","11"
"TOTAL","8,124","8,162","8,539","24,825"
"% OF TOTAL_offenses","32.73%","32.88%","34.40%","100.00%"
