"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","605","546","187","1397","539","3274"
"CMCF","654","835","156","844","264","2753"
"SMCI","487","539","159","1032","479","2696"
"County Jails (approved)","389","201","11","52","8","661"
"Youthful Offender Facility","0","1","5","15","7","28"
"County Jails (unapproved)","36","74","6","25","9","150"
"Private Prisons","495","540","272","1920","685","3912"
"Regional Correctional Facilities","688","703","286","1383","799","3859"
"Community Work Centers","659","290","1","40","0","990"
"Community Trusties","16","3","0","0","0","19"
"Pending File Review","30","4","4","8","0","86"
"Court Order","67","63","12","46","10","198"
"TOTAL CUSTODY POPULATION","4126","3839","1099","6762","2800","18626"
"% OF TOTAL_offenses","22.15%","20.61%","5.90%","36.30%","15.03%","100.00%"
"Intensive Supervison Program","346","389","7","53","5","800"
"Earned Release Supervision","265","63","149","382","3","862"
"Medical Release","6","3","0","2","0 2","11"
"Other Custody","177","217","17","87","6","524"
"At Large","6","14","0","6","0","26"
"Off-Grounds Medical (Hospital)","2","0","0","5","0","7"
"Conditional Release","0","0","0","2","0","2"
"TOTAL","4928","4525","1272","7299","2834","20858"
"% OF TOTAL_offenses","23.63%","21.70%","6.10%","35.00%","13.59%","100.00%"
