"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1454","1352","2925","5731"
"CMCF","1042","1145","969","3156"
"SMCI","694","735","712","2141"
"County Jails (approved)","820","748","272","1840"
"County Jails (unapproved)","91","116","48","255"
"Private Prisons","639","852","1877","3368"
"Regional Correctional Facilities","881","587","1120","2588"
"Community Work Centers","708","586","9","1303"
"Community Trusties","11","10","5","26"
"CUSTODY POPULATION","6340","6131","7937","20408"
"Intensive Supervison Program","468","878","39","1385"
"Earned Release Supervision","425","502","201","1128"
"Medical Release","0","0","0","0"
"Other Custody","58","80","65","203"
"At Large","45","78","24","147"
"University of MS Medical Center","2","5","4","11"
"TOTAL","7338","7674","8270","23282"
"% of Total Offenses","31.52%","32.96%","35.52%","100.00%"
