"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1193","1258","2349","4800"
"CMCF","1018","1195","941","3154"
"SMCI","712","616","842","2170"
"County Jails (approved)","765","733","225","1723"
"County Jails (unapproved)","96","124","33","253"
"Private Prisons","964","1306","2352","4622"
"Regional Correctional Facilities","924","633","1177","2734"
"Community Work Centers","1034","674","0","1708"
"Community Trusties","9","4","5","18"
"Pending File Review","60","96","22","178"
"CUSTODY POPULATION","6775","6639","7946","21360"
"Intensive Supervison Program","443","806","21","1270"
"Earned Release Supervision","609","586","236","1431"
"Medical Release","2","1","0","3"
"Other Custody/At Large","98","134","78","310"
"Off-Grounds Medical (Hospital)","2","4","1","7"
"TOTAL","7929","8170","8282","24381"
"% of Total Offenses","32.52%","33.51%","33.97%","100.00%"
