"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","388","390","570","1,902","3,250"
"CMCF","988","965","325","1,411","3,689"
"SMCI","455","405","493","1,289","2,642"
"Youthful Offender Facility","0","6","2","20","28"
"County Jails (approved)","390","164","4","165","723"
"County Jails (unapproved)","133","157","25","93","408"
"Private Prisons","264","253","562","2,126","3,205"
"Regional Correctional Facilities","723","565","834","2,132","4,254"
"Community Work Centers","381","135","0","106","622"
"Community Trusties","5","0","0","1","6"
"Pending File Review","26","33","1","19","79"
"Court Order","84","80","15","91","270"
"Transitional Housing","7","9","1","10","27"
"RRP","22","40","0","9","71"
"TVC","52","10","0","20","82"
"TOTAL CUSTODY POPULATION","3,918","3,212","2,832","9,394","19,356"
"% OF TOTAL_offenses","20.24%","16.59%","14.63%","48.53%","100.00%"
"Intensive Supervison Program","323","397","9","89","818"
"Earned Release Supervision","45","31","11","493","580"
"Medical Release","10","1","0","4","15"
"Other Custody","168","186","25","123","502"
"At Large","7","11","0","7","25"
"Conditional Release","0","0","0","3","3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","3","1","3","2","9"
"TOTAL","4,476","3,842","2,881","10,115","21,314"
"% OF TOTAL_offenses","21.00%","18.03%","13.52%","47.46%","100.00%"
