"location","drug_offenses","NON-violent_offenses","sex_offenses","violent_offenses","total"
"MSP","398","380","576","1921","3275"
"CMCF","911","939","332","1380","3562"
"SMCI","471","395","498","1295","2659"
"Youthful Offender Facility","0","6","2","25","33"
"County Jails (approved)","390","159","1","165","715"
"County Jails (unapproved)","154","173","11","93","431"
"Private Prisons","264","255","556","2095","3170"
"Regional Correctional Facilities","723","555","826","2149","4253"
"Community Work Centers","402","142","0","115","659"
"Community Trusties","6","0","0","1","7"
"Pending File Review","31","28","2","26","87"
"Court Order","72","69","10","87","238"
"Transitional Housing","5","11","1","12","29"
"RRP","23","37","0","9","69"
"TVC","45","10","0","16","71"
"TOTAL CUSTODY POPULATION","3895","3159","2815","9389","19258"
"% OF TOTAL_offenses","20.23%","16.40%","14.62%","48.75%","100.00%"
"Intensive Supervison Program","313","386","9","87","795"
"Earned Release Supervision","45","34","11","491","581"
"Medical Release","11","1","0","3","15"
"Other Custody","159","185","24","122","490"
"At Large","7","11","0","7","25"
"Conditional Release","0","0","0","3", "3"
"FTR- Monitoring","2","3","1","0","6"
"Off-Grounds Medical (Hospital)","2","1","3","4","10"
"TOTAL","4434","3780","2863","10106","21183"
"% OF TOTAL_offenses","20.93%","17.85%","13.52%","47.71%","100.00%"
