"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","567","568","181","1,486","552","3,354"
"CMCF","726","870","144","1,149","340","3,229"
"SMCI","483","519","188","1,284","563","3,037"
"County Jails (approved)","375","233","12","111","4","735"
"Youthful Offender Facility","0","0","2","19","4","25"
"County Jails (unapproved)","94","139","18","66","22","339"
"Private Prisons","280","335","214","1,680","559","3,068"
"Regional Correctional Facilities","582","675","298","1,471","779","3,805"
"Community Work Centers","441","229","0","93","0","763"
"Community Trusties","24","13","0","5","0","42"
"Pending File Review","29","52","3","12","4","100"
"Court Order","85","89","8","65","9","256"
"Transitional Housing","10","10","1","2","0","23"
"TVC","1","1","0","0","0","2"
"TOTAL CUSTODY POPULATION","3,697","3,733","1,069","7,443","2,836","18,778"
"% OF TOTAL_offenses","19.69%","19.88%","5.69%","39.64%","15.10%","100.00%"
"Intensive Supervison Program","314","355","12","72","6","759"
"Earned Release Supervision","116","40","127","312","6","601"
"Medical Release","6","2","0","2","0","10"
"Other Custody","157","208","12","81","26","484"
"At Large","7","15","0","6","0","28"
"Conditional Release","0","0","0","2","1","3"
"RRP","21","48","0","16","0","85"
"FTR- Monitoring","5","1","0","0","0","6"
"Bond Monitoring","0","2","0","0","0","2"
"Contempt","0","1","0","0","0","1"
"Off-Grounds Medical (Hospital)","0","3","1","6","4","14"
"TOTAL","4,323","4,408","1,221","7,940","2,879","20,771"
