"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1408","1297","2999","5704"
"CMCF","1070","1142","976","3188"
"SMCI","693","747","711","2151"
"County Jails (approved)","808","682","270","1760"
"County Jails (unapproved)","73","88","40","201"
"Private Prisons","669","942","1867","3478"
"Regional Correctional Facilities","881","589","1120","2590"
"Community Work Centers","770","636","10","1416"
"Community Trusties","9","9","5","23"
"CUSTODY POPULATION","6381","6132","7998","20511"
"Intensive Supervison Program","472","895","39","1406"
"Earned Release Supervision","462","491","229","1182"
"Medical Release","0","0","0","0"
"Other Custody","55","79","64","198"
"At Large","57","76","23","156"
"University of MS Medical Center","1","1","1","3"
"TOTAL","7428","7674","8354","23456"
"% of Total Offenses","31.67%","32.72%","35.62%","100.00%"
