"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","786","766","157","1197","473","3379"
"CMCF","853","1114","176","818","353","3314"
"SMCI","718","811","184","978","492","3183"
"County Jails (approved)","755","639","22","58","36","1510"
"County Jails (unapproved)","122","181","16","37","27","383"
"Private Prisons","436","840","262","2086","631","4255"
"Regional Correctional Facilities","973","1096","311","1178","789","4347"
"Community Work Centers","901","560","1","4","0","1466"
"Community Trusties","9","5","0","0","0","14"
"Pending File Review","9","12","1","6","0","28"
"Court Order","143","173","10","52","23","401"
"TOTAL CUSTODY POPULATION","5705","6197","1140","6414","2824","22280"
"% OF TOTAL_offenses","25.61%","27.81%","5.12%","28.79%","12.68%","100.00%"
"Intensive Supervison Program","805","785","18","48","7","1663"
"Earned Release Supervision","507","511","189","404","2","1613"
"Medical Release","13","7","2","3","0","25"
"Other Custody","199","160","13","64","20","456"
"At Large","7","20","0","7","0","34"
"Off-Grounds Medical (Hospital)","1","5","0","2","0","8"
"TOTAL","7237","7685","1362","6942","2853","26079"
"% OF TOTAL_offenses","27.75%","29.47%","5.22%","26.62%","10.94%","100.00%"
