"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1164","1130","2033","4327"
"CMCF","1031","1071","949","3051"
"SMCI","697","596","871","2164"
"County Jails (approved)","643","524","131","1298"
"County Jails (unapproved)","24","27","13","64"
"Private Prisons","1054","1131","2648","4833"
"Regional Correctional Facilities","909","546","1481","2936"
"Community Work Centers","963","714","3","1680"
"Community Trusties","8","44","5","17"
"Pending File Review","1","4","4","9"
"Court Order","142","162","52","356"
"TOTAL CUSTODY POPULATION","6636","5909","8190","20735"
"Intensive Supervison Program","603","1011","39","1653"
"Earned Release Supervision","748","780","355","1883"
"Medical Release","4","2","2","8"
"Other Custody","111","116","68","295"
"At Large","32","65","15","112"
"Off-Grounds Medical (Hospital)","4","1","2","7"
"TOTAL","8138","7884","8671","24693"
"% OF TOTAL_offenses","32.96%","31.93%","35.12%","100.00%"
