"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1275","1129","2126","4530"
"CMCF","1168","1138","1001","3307"
"SMCI","755","645","855","2255"
"County Jails (approved)","706","503","154","1363"
"County Jails (unapproved)","55","61","44","160"
"Private Prisons","1065","1116","2680","4861"
"Regional Correctional Facilities","928","581","1557","3066"
"Community Work Centers","1155","625","0","1780"
"Community Trusties","9","4","5","18"
"Pending File Review","23","22","14","59"
"Court Order","113","127","48","288"
"TOTAL CUSTODY POPULATION","7252","5951","8484","21687"
"Intensive Supervison Program","530","908","35","1473"
"Earned Release Supervision","743","613","337","1693"
"Medical Release","4","2","3","9"
"Other Custody","131","108","74","313"
"At Large","38","63","25","126"
"Off-Grounds Medical (Hospital)","2","2","1","5"
