"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,180","1,225","2,216","4,621"
"CMCF","1,000","1,165","920","3,085"
"SMCI","710","592","840","2,142"
"County Jails (approved)","742","673","218","1,633"
"County Jails (unapproved)","90","115","38","243"
"Private Prisons","984","1,275","2,492","4,751"
"Regional Correctional Facilities","917","641","1,180","2,738"
"Community Work Centers","1,001","707","1","1,709"
"Community Trusties","8","6","5","19"
"Pending File Review","70","113","26","209"
"TOTAL CUSTODY POPULATION","6,702","6,512","7,936","21,150"
"Intensive Supervison Program","467","846","22","1,335"
"Earned Release Supervision","722","701","282","1,705"
"Medical Release","2","1","0","3"
"Other Custody/At Large","121","151","79","351"
"Off-Grounds Medical (Hospital)","3","3","2","8"
"TOTAL","8,017","8,214","8,321","24,552"
"% OF TOTAL_offenses","32.65%","33.46%","33.89%","100.00%"
