"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","621","565","175","1203","502","3066"
"CMCF","544","574","107","702","259","2186"
"SMCI","479","646","136","957","496","2714"
"County Jails (approved)","648","399","30","91","57","1225"
"Youthful Offender Facility","1","3","6","18","4","32"
"County Jails (unapproved)","8","43","6","11","4","92"
"Private Prisons","522","716","269","2103","699","4309"
"Regional Correctional Facilities","738","826","367","1472","867","4270"
"Community Work Centers","669","390","0","7","0","1066"
"Community Trusties","5","0","0","0","0","5"
"Transitional Housing","1","1","0","0","0","2"
"TVC","0","1","1","0","0","2"
"Pending File Review","9","89","4","17","1","200"
"Court Order","89","74","12","42","12","229"
"TOTAL CUSTODY POPULATION","4434","4327","1113","6623","2901","19398"
"% OF TOTAL_offenses","22.86%","22.31%","5.74%","34.14%","14.96%","100.00%"
"Intensive Supervison Program","616","753","15","37","4","1425"
"Earned Release Supervision","345","285","173","398","5","1206"
"Medical Release","11","7","0","2","0","20"
"Other Custody","182","195","16","83","8","504"
"At Large","6","15","0","7","0","28"
"Off-Grounds Medical (Hospital)","0","2","0","0","3","5"
"TOTAL","5594","5584","1317","7150","2941","22586"
"% OF TOTAL_offenses","24.77%","24.72%","5.83%","31.66%","13.02%","100.00%"
