"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","592","536","174","1289","497","3088"
"CMCF","543","598","103","759","263","2266"
"SMCI","452","564","127","880","458","2481"
"County Jails (approved)","500","264","20","66","6","856"
"Youthful Offender Facility","1","1","2","13","3","20"
"County Jails (unapproved)","103","145","24","37","17","326"
"Private Prisons","451","545","286","2024","662","3968"
"Regional Correctional Facilities","709","730","355","1481","864","4139"
"Community Work Centers","665","397","2","12","0","1076"
"Community Trusties","12","4","0","0","0","16"
"Pending File Review","15","8","2","10","3","68"
"Court Order","74","87","10","40","9","220"
"TOTAL CUSTODY POPULATION","4117","3909","1105","6611","2782","18524"
"% OF TOTAL_offenses","22.23%","21.10%","5.97%","35.69%","15.02%","100.00%"
"Intensive Supervison Program","473","612","10","45","5","1145"
"Earned Release Supervision","251","91","151","382","8","883"
"Medical Release","9","6","0","2","0","17"
"Other Custody","196","210","15","83","5","529"
"At Large","6","14","0","7","0","27"
"Off-Grounds Medical (Hospital)","2","2","1","3","1","9"
"TOTAL","5054","4844","1282","7133","2821","21134"
"% OF TOTAL_offenses","23.92%","22.92%","6.07%","33.75%","13.35%","100.00%"
