"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1508","1363","2617","5488"
"CMCF","1114","1051","901","3066"
"SMCI","718","727","663","2108"
"County Jails (approved)","779","782","248","1809"
"County Jails (unapproved)","74","91","34","199"
"Private Prisons","725","924","1782","3431"
"Regional Correctional Facilities","979","615","912","2506"
"Community Work Centers","663","617","25","1305"
"Community Trusties","6","7","5","18"
"CUSTODY POPULATION","6566","6177","7187","19930"
"Intensive Supervison Program","411","1041","40","1492"
"Earned Release Supervision","405","489","153","1047"
"Medical Release","0","0","0","0"
"Other Custody","71","105","68","244"
"At Large","29","55","13","97"
"University of MS Medical Center","1","3","2","6"
"TOTAL","7483","7870","7463","22816"
"% of Total Offenses","32.80%","34.49%","32.71%","100.00%"
