"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1456","1297","2581","5334"
"CMCF","1069","1018","867","2954"
"SMCI","641","669","718","2028"
"County Jails (approved)","744","678","245","1667"
"County Jails (unapproved)","77","103","32","212"
"Private Prisons","825","996","1851","3672"
"Regional Correctional Facilities","826","505","800","2131"
"Community Work Centers","644","629","38","1311"
"Community Trusties","7","6","5","18"
"CUSTODY POPULATION","6289","5901","7137","19327"
"Intensive Supervison Program","396","1053","32","1481"
"Earned Release Supervision","429","542","145","1116"
"Medical Release","0","0","0","0"
"Other Custody","65","104","72","241"
"At Large","29","45","39","83"
"University of MS Medical Center","1","2","3","6"
"TOTAL","7209","7647","7398","22254"
"% of Total Offenses","32.39%","34.36%","33.24%","100.00%"
