"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,541","1,366","2,623","5,530"
"CMCF","1,098","1,086","880","3,064"
"SMCI","701","732","643","2,076"
"County Jails (approved)","785","781","248","1,814"
"County Jails (unapproved)","79","79","53","211"
"Private Prisons","722","897","1,793","3,412"
"Regional Correctional Facilities","960","596","928","2,484"
"Community Work Centers","676","595","23","1,294"
"Community Trusties","9","6","5","20"
"CUSTODY POPULATION","6,571","6,138","7,196","19,905"
"Intensive Supervison Program","421","1,012","40","1,473"
"Earned Release Supervision","381","504","153","1,038"
"Medical Release","0","0","0","0"
"Other Custody","67","101","70","238"
"At Large","26","55","11","92"
"University of MS Medical Center","2","2","4","8"
"TOTAL","7,468","7,812","7,474","22,754"
"% of Total Offenses","32.82%","34.33%","32.85%","100.00%"
