"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","971","797","2156","3924"
"CMCF","910","948","1354","3212"
"SMCI","815","739","1191","2745"
"County Jails (approved)","635","391","67","1093"
"County Jails (unapproved)","131","114","54","299"
"Private Prisons","884","1107","3320","5311"
"Regional Correctional Facilities","584","506","1659","2749"
"Community Work Centers","1112","662","14","1788"
"Community Trusties","7","3","6","16"
"Pending File Review","54","22","8","84"
"Court Order","106","109","53","268"
"TOTAL CUSTODY POPULATION","6209","5398","9882","21489"
"Intensive Supervison Program","657","716","41","1414"
"Earned Release Supervision","426","469","529","1424"
"Medical Release","18","8","9","35"
"Other Custody","144","116","99","359"
"At Large","12","24","8","44"
"Off-Grounds Medical (Hospital)","4","3","1","8"
