"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1398","1287","3009","5694"
"CMCF","1002","1136","989","3127"
"SMCI","696","724","715","2135"
"County Jails (approved)","802","671","272","1745"
"County Jails (unapproved)","65","85","34","184"
"Private Prisons","673","967","1831","3471"
"Regional Correctional Facilities","865","575","1153","2593"
"Community Work Centers","846","668","11","1525"
"Community Trusties","8","9","5","22"
"CUSTODY POPULATION","6355","6122","8019","20496"
"Intensive Supervison Program","472","879","39","1390"
"Earned Release Supervision","521","499","237","1257"
"Medical Release","0","0","0","0"
"Other Custody","71","83","70","224"
"At Large","54","73","25","152"
"University of MS Medical Center","0","0","2","2"
"TOTAL","7473","7656","8392","23521"
"% of Total Offenses","31.77%","32.55%","35.68%","100.00%"
