"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1397","1364","2598","5359"
"CMCF","1046","1053","886","2985"
"SMCI","639","700","711","2050"
"County Jails (approved)","764","674","247","1685"
"County Jails (unapproved)","66","78","26","170"
"Private Prisons","894","936","1848","3678"
"Regional Correctional Facilities","786","505","733","2024"
"Community Work Centers","642","634","42","1318"
"Community Trusties","8","8","5","21"
"CUSTODY POPULATION","6242","5952","7096","19290"
"Intensive Supervison Program","376","1042","35","1453"
"Earned Release Supervision","384","514","148","1046"
"Medical Release","0","0","0","0"
"Other Custody","63","92","75","230"
"At Large","26","54","29","89"
"University of MS Medical Center","2","4","3","9"
"TOTAL","7095","7657","7365","22117"
"% of Total Offenses","32.08%","34.62%","33.30%","100.00%"
