"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","817","634","1,486","508","3,445"
"CMCF","925","953","1,016","330","3,224"
"SMCI","888","771","1,082","420","3,161"
"County Jails (approved)","565","385","43","20","1,013"
"County Jails (unapproved)","121","157","42","13","333"
"Private Prisons","750","1,105","2,656","789","5,300"
"Regional Correctional Facilities","507","469","1,054","486","2,516"
"Community Work Centers","1,041","586","11","0","1,638"
"Community Trusties","10","1","6","0","17"
"Pending File Review","47","41","8","3","99"
"Court Order","118","100","48","14","280"
"TOTAL CUSTODY POPULATION","5,789","5,202","7,452","2,583","21,026"
"Intensive Supervison Program","825","734","46","5","1,610"
"Earned Release Supervision","328","502","604","4","1,438"
"Medical Release","23","13","7","0","43"
"Other Custody","141","127","81","12","361"
"At Large","11","23","8","0","42"
"Off-Grounds Medical (Hospital)","3","1","3","0","7"
"TOTAL","7,120","6,602","8,201","2,604","24,527"
"% OF TOTAL_offenses","29.03%","26.92%","33.44%","10.62%","100.00%"
