"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1193","980","1916","4089"
"CMCF","1189","1101","1169","3459"
"SMCI","1130","852","1142","3124"
"County Jails (approved)","742","364","97","1203"
"County Jails (unapproved)","73","93","31","197"
"Private Prisons","1087","1224","3181","5492"
"Regional Correctional Facilities","950","508","1478","2936"
"Community Work Centers","1190","551","0","1741"
"Community Trusties","8","5","6","19"
"Pending File Review","57","50","14","121"
"Court Order","139","115","64","318"
"TOTAL CUSTODY POPULATION","7758","5843","9098","22699"
"Intensive Supervison Program","446","663","36","1145"
"Earned Release Supervision","691","618","479","1788"
"Medical Release","20","12","5","37"
"Other Custody","126","116","82","324"
"At Large","15","28","10","53"
"Off-Grounds Medical (Hospital)","2","3","2","7"
