"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","555","549","176","1478","545","3303"
"CMCF","724","846","152","1135","336","3193"
"SMCI","471","514","190","1267","553","2995"
"County Jails (approved)","376","236","12","99","5","728"
"Youthful Offender Facility","0","0","2","20","5","27"
"County Jails (unapproved)","104","124","13","59","20","320"
"Private Prisons","282","358","216","1632","563","3051"
"Regional Correctional Facilities","578","675","323","1414","796","3786"
"Community Work Centers","447","218","0","92","0","757"
"Community Trusties","17","13","0","6","0","36"
"Pending File Review","29","52","3","12","4","100"
"Court Order","99","108","10","70","9","296"
"Transitional Housing","3","1","0","0","0","4"
"TVC","1","1","0","0","0","2"
"TOTAL CUSTODY POPULATION","3686","3695","1097","7284","2836","18598"
"% OF TOTAL_offenses","19.82%","19.87%","5.90%","39.17%","15.25%","100.00%"
"Intensive Supervison Program","306","359","15","63","6","749"
"Earned Release Supervision","121","45","127","327","6","626"
"Medical Release","6","3","0","2","0","11"
"Other Custody","154","209","12","81","26","482"
"At Large","7","16","0","6","0","29"
"Conditional Release","0","0","0","2","1","3"
"RRP","23","53","0","16","0","92"
"FTR- Monitoring","5","1","0","0","0","6"
"Bond Monitoring","0","3","0","0","0","3"
"Contempt","0","1","0","0","0","1"
"Off-Grounds Medical (Hospital)","0","1","0","2","2","5"
"TOTAL","4308","4386","1251","7783","2877","20605"
"% OF TOTAL_offenses","20.91%","21.29%","6.07%","37.77%","13.96%","100.00%"
