"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","600","563","175","1204","495","3037"
"CMCF","535","534","105","668","246","2088"
"SMCI","481","604","133","917","487","2622"
"County Jails (approved)","624","376","25","91","57","1173"
"Youthful Offender Facility","1","1","7","20","4","33"
"County Jails (unapproved)","7","60","5","12","2","106"
"Private Prisons","510","690","277","2152","705","4334"
"Regional Correctional Facilities","728","779","360","1471","879","4217"
"Community Work Centers","681","413","0","7","0","1101"
"Community Trusties","6","0","0","0","0","6"
"Transitional Housing","1","1","0","0","0","2"
"TVC","0","2","1","0","0","3"
"Pending File Review","4","98","7","23","3","195"
"Court Order","92","74","15","42","10","233"
"TOTAL CUSTODY POPULATION","4350","4195","1110","6607","2888","19150"
"% OF TOTAL_offenses","22.72%","21.91%","5.80%","34.50%","15.08%","100.00%"
"Intensive Supervison Program","566","707","14","36","5","1328"
"Earned Release Supervision","307","241","166","394","5","1113"
"Medical Release","11","7","0","2","0","20"
"Other Custody","193","200","16","84","8","521"
"At Large","6","15","0","7","0","28"
"Off-Grounds Medical (Hospital)","2","1","1","1","7","12"
"TOTAL","5435","5366","1307","7131","2933","22172"
"% OF TOTAL_offenses","24.51%","24.20%","5.90%","32.16%","13.23%","100.00%"
