"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","565","589","181","1467","569","3371"
"CMCF","754","961","157","1116","352","3340"
"SMCI","502","587","195","1233","540","3057"
"County Jails (approved)","390","241","14","108","5","758"
"Youthful Offender Facility","0","1","2","19","4","26"
"County Jails (unapproved)","75","112","10","49","7","253"
"Private Prisons","253","368","208","1681","566","3076"
"Regional Correctional Facilities","622","689","311","1457","783","3862"
"Community Work Centers","464","256","0","88","0","808"
"Community Trusties","19","9","0","2","0","30"
"Pending File Review","34","38","3","10","2","87"
"Court Order","40","63","7","45","9","164"
"TVC","0","0","0","0","0","0"
"TOTAL CUSTODY POPULATION","3718","3914","1088","7275","2837","18832"
"% OF TOTAL_offenses","19.74%","20.78%","5.78%","38.63%","15.06%","100.00%"
"Intensive Supervison Program","283","376","13","65","5","742"
"Earned Release Supervision","120","40","113","296","5","574"
"Medical Release","5","4","0","2","0","11"
"Other Custody","170","211","14","92","24","511"
"At Large","7","15","0","6","0","28"
"Transitional Housing","0","1","0","0","0","1"
"Conditional Release","0","0","0","2","0","2"
"RRP","9","23","0","11","0","43"
"FTR- Monitoring","2","0","0","0","0","2"
"Off-Grounds Medical (Hospital)","2","3","1","1","0","7"
"TOTAL","4316","4587","1229","7750","2871","20753"
"% OF TOTAL_offenses","20.80%","22.10%","5.92%","37.35%","13.83%","100.00%"
