"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","647","576","187","1434","545","3389"
"CMCF","764","919","155","922","305","3065"
"SMCI","523","615","184","1115","553","2990"
"County Jails (approved)","515","294","16","97","8","930"
"Youthful Offender Facility","0","0","6","23","4","33"
"County Jails (unapproved)","126","161","11","68","10","376"
"Private Prisons","469","517","265","1935","684","3870"
"Regional Correctional Facilities","616","607","271","1313","694","3501"
"Community Work Centers","593","265","0","69","0","927"
"Community Trusties","30","13","0","4","0","47"
"Pending File Review","35","52","5","8","2","102"
"County Jail","0","1","0","0","0","1"
"Conditional Release","0","0","0","2","0","2"
"Court Order","89","96","14","56","9","264"
"TOTAL CUSTODY POPULATION","4407","4116","1114","7046","2814","19497"
"% OF TOTAL_offenses","22.60%","21.11%","5.71%","36.14%","14.43%","100.00%"
"Intensive Supervison Program","326","335","9","48","6","724"
"Earned Release Supervision","226","51","125","316","4","722"
"Medical Release","7","4","0","3","0 2","14"
"Other Custody","175","225","16","88","5","529"
"At Large","6","14","0","6","0","26"
"Transitional Housing","0","1","0","0","0","1"
"TVC","0","0","0","1","0","1"
"Off-Grounds Medical (Hospital)","0","2","2","3","0","7"
"TOTAL","5147","4748","1266","7511","2849","21521"
"% OF TOTAL_offenses","23.92%","22.06%","5.88%","34.90%","13.24%","100.00%"
