"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","770","764","164","1190","493","3381"
"CMCF","891","1098","187","817","331","3324"
"SMCI","677","831","176","1037","523","3244"
"County Jails (approved)","744","630","23","41","27","1465"
"Youthful Offender Facility","0","7","0","25","4","36"
"County Jails (unapproved)","124","168","12","46","14","364"
"Private Prisons","533","939","286","2035","614","4407"
"Regional Correctional Facilities","974","1122","310","1220","801","4427"
"Community Work Centers","886","577","1","2","0","1466"
"Community Trusties","9","5","0","0","0","14"
"Pending File Review","31","21","0","2","0","54"
"Court Order","133","140","9","41","13","336"
"TOTAL CUSTODY POPULATION","5772","6302","1168","6456","2820","22518"
"% OF TOTAL_offenses","25.63%","27.99%","5.19%","28.67%","12.52%","100.00%"
"Intensive Supervison Program","710","808","14","46","6","1584"
"Earned Release Supervision","490","552","185","390","6","1623"
"Medical Release","11","7","1","5","0","24"
"Other Custody","201","175","10","75","3","484"
"At Large","7","18","0","7","0","32"
"Off-Grounds Medical (Hospital)","3","2","0","3","1","9"
"TOTAL","7194","7864","1378","6982","2856","26274"
"% OF TOTAL_offenses","27.38%","29.93%","5.24%","26.57%","10.87%","100.00%"
