"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","755","586","1,384","473","3,198"
"CMCF","927","945","959","329","3,160"
"SMCI","846","763","1,133","431","3,173"
"County Jails (approved)","656","422","37","25","1,140"
"County Jails (unapproved)","65","76","24","13","178"
"Private Prisons","714","1,101","2,675","774","5,264"
"Regional Correctional Facilities","659","618","1,147","568","2,992"
"Community Work Centers","998","550","7","0","1,555"
"Community Trusties","6","3","5","0","14"
"Pending File Review","70","56","11","1","138"
"Court Order","117","107","60","16","300"
"TOTAL CUSTODY POPULATION","5,813","5,227","7,442","2,630","21,112"
"Intensive Supervison Program","826","727","40","6","1,599"
"Earned Release Supervision","343","486","610","4","1,443"
"Medical Release","23","14","7","0","44"
"Other Custody","142","130","84","12","368"
"At Large","9","22","8","0","39"
"Off-Grounds Medical (Hospital)","29","4","1","1","8"
"TOTAL","7,158","6,610","8,192","2,653","24,613"
"% OF TOTAL_offenses","29.08%","26.86%","33.28%","10.78%","100.00%"
