"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","722","699","177","1187","505","3290"
"CMCF","693","854","123","709","312","2691"
"SMCI","615","763","174","1090","551","3193"
"County Jails (approved)","635","516","33","104","55","1343"
"Youthful Offender Facility","3","6","3","20","5","37"
"County Jails (unapproved)","55","73","7","18","11","164"
"Private Prisons","501","836","281","2039","642","4299"
"Regional Correctional Facilities","951","1004","332","1288","817","4392"
"Community Work Centers","676","440","0","3","0","1119"
"Community Trusties","10","2","0","0","0","12"
"Pending File Review","48","60","2","4","1","115"
"Transitional Housing","2","1","0","0","0","3"
"Court Order","105","129","4","34","13","285"
"TOTAL CUSTODY POPULATION","5016","5383","1136","6496","2912","20943"
"% OF TOTAL_offenses","23.95%","25.70%","5.42%","31.02%","13.90%","100.00%"
"Intensive Supervison Program","681","810","15","37","4","1547"
"Earned Release Supervision","416","459","190","362","4","1431"
"Medical Release","11","10","1","3","0","25"
"Other Custody","188","184","12","80","24","488"
"At Large","7","17","0","7","0","31"
"Off-Grounds Medical (Hospital)","2","3","1","4","0","10"
"TOTAL","6321","6866","1355","6989","2944","24475"
"% OF TOTAL_offenses","25.83%","28.05%","5.54%","28.56%","12.03%","100.00%"
