"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","AGGREVATED ASSAULT_offenses","total"
"MSP","471","453","1603","573","189","3289"
"CMCF","924","938","1166","305","151","3484"
"SMCI","421","494","1112","468","142","2637"
"County Jails (approved)","327","181","102","4","15","629"
"Youthful Offender Facility","0","2","15","6","3","26"
"County Jails (unapproved)","112","127","64","18","17","338"
"Private Prisons","261","363","1763","571","210","3168"
"Regional Correctional Facilities","705","696","1681","868","325","4275"
"Community Work Centers","389","174","106","0","0","669"
"Community Trusties","18","10","8","0","0","36"
"Pending File Review","34","50","13","1","5","103"
"Court Order","87","76","53","7","10","233"
"Transitional Housing","12","12","10","0","2","36"
"RRP","32","51","16","1","1","101"
"TVC","9","5","2","0","2","18"
"TOTAL CUSTODY POPULATION","3802","3632","7714","2822","1072","19042"
"% OF TOTAL_offenses","19.97%","19.07%","40.51%","14.82%","5.63%","100.00%"
"Intensive Supervison Program","336","292","70","3","11","712"
"Earned Release Supervision","96","38","344","4","125","607"
"Medical Release","8","3","2","0","0","13"
"Other Custody","151","183","79","29","8","450"
"At Large","8","15","6","0","0","29"
"Conditional Release","0","0","2","1","0","3"
"FTR- Monitoring","2","3","0","0","0","5"
"Off-Grounds Medical (Hospital)","4","2","3","3","0","12"
"TOTAL","4407","4168","8220","2862","1216","20873"
"% OF TOTAL_offenses","21.11%","19.97%","39.38%","13.71%","5.83%","100.00%"
