"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1201","1469","2443","5113"
"CMCF","1011","1085","894","2990"
"SMCI","572","702","694","1968"
"County Jails (approved)","524","576","243","1343"
"County Jails (unapproved)","52","51","29","132"
"Private Prisons","788","725","1727","3240"
"Regional Correctional Facilities","728","534","747","2009"
"Community Work Centers","571","660","48","1279"
"Community Trusties","3","4","5","12"
"CUSTODY POPULATION","5450","5806","6830","18086"
"Intensive Supervison Program","331","848","36","1215"
"Earned Release Supervision","318","464","105","887"
"Medical Release","0","1","1","2"
"Other Custody & At Large","72","120","74","266"
"TOTAL","6171","7239","7046","20456"
"% of Total Offenses","30.17%","35.39%","34.44%","100.00%"
