"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1,176","1,173","2,140","4,489"
"CMCF","1,014","1,056","932","3,002"
"SMCI","701","592","842","2,135"
"County Jails (approved)","655","498","143","1,296"
"County Jails (unapproved)","15","20","5","40"
"Private Prisons","1,033","1,164","2,659","4,856"
"Regional Correctional Facilities","881","568","1,375","2,824"
"Community Work Centers","953","706","4","1,663"
"Community Trusties","5","4","5","14"
"Pending File Review","33","16","1","50"
"Court Order","155","180","63","398"
"TOTAL CUSTODY POPULATION","6,621","5,977","8,169","20,767"
"Intensive Supervison Program","604","1,022","35","1,661"
"Earned Release Supervision","756","755","366","1,877"
"Medical Release","3","2","2","7"
"Other Custody","111","118","65","294"
"At Large","34","55","16","105"
"Off-Grounds Medical (Hospital)","1","2","4","7"
