"location","drug_offenses","property_offenses","violent_offenses","sex_offenses","total"
"MSP","704","627","1305","441","3077"
"CMCF","896","982","968","314","3160"
"SMCI","842","815","1056","428","3141"
"County Jails (approved)","783","478","30","21","1312"
"County Jails (unapproved)","130","127","49","9","315"
"Private Prisons","671","1031","2626","808","5136"
"Regional Correctional Facilities","699","662","1266","646","3273"
"Community Work Centers","960","598","6","0","1564"
"Community Trusties","3","6","5","0","14"
"Pending File Review","60","53","11","3","127"
"Court Order","109","121","51","14","295"
"TOTAL CUSTODY POPULATION","5857","5500","7373","2684","21414"
"Intensive Supervison Program","798","698","37","6","1539"
"Earned Release Supervision","383","462","586","6","1437"
"Medical Release","19","9","6","0","34"
"Other Custody","161","133","91","13","398"
"At Large","8","21","8","0","37"
"Off-Grounds Medical (Hospital)","2","2","3","3","10"
"TOTAL","7228","6825","8104","2712","24869"
"% OF TOTAL_offenses","29.06%","27.44%","32.59%","10.91%","100.00%"
