"location","drug_offenses","property_offenses","agg_assault_offenses","violent_offenses","sex_offenses","total"
"MSP","666","573","185","1,437","532","3,393"
"CMCF","724","832","147","927","296","2,926"
"SMCI","518","615","178","1,132","553","2,996"
"County Jails (approved)","451","251","14","82","10","808"
"Youthful Offender Facility","0","1","6","20","5","32"
"County Jails (unapproved)","132","179","14","59","19","403"
"Private Prisons","483","536","267","1,926","695","3,907"
"Regional Correctional Facilities","575","610","279","1,259","683","3,406"
"Community Work Centers","626","271","0","62","0","959"
"Community Trusties","31","12","0","4","0","47"
"Pending File Review","32","36","5","7","2","82"
"County Jail","0","1","0","0","0","1"
"Conditional Release","0","0","0","2","0","2"
"Court Order","85","99","13","58","10","265"
"TOTAL CUSTODY POPULATION","4,323","4,016","1,108","6,975","2,805","19,227"
"% OF TOTAL_offenses","22.48%","20.89%","5.76%","36.28%","14.59%","100.00%"
"Intensive Supervison Program","331","334","9","46","6","726"
"Earned Release Supervision","239","54","131","327","4","755"
"Medical Release","7","4","0","4","0","15"
"Other Custody","175","223","17","89","26","530"
"At Large","6","14","0","6","0","26"
"Transitional Housing","0","3","0","0","0","3"
"TVC","0","0","0","1","0","1"
"Off-Grounds Medical (Hospital)","1","2","1","3","2","9"
"TOTAL","5,082","4,650","1,266","7,451","2,843","21,292"
"% OF TOTAL_offenses","23.87%","21.84%","5.95%","35.00%","13.35%","100.00%"
