"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","1315","1067","2137","4519"
"CMCF","1221","1103","1009","3333"
"SMCI","894","747","943","2584"
"County Jails (approved)","729","500","141","1370"
"County Jails (unapproved)","28","45","10","83"
"Private Prisons","1048","1106","2713","4867"
"Regional Correctional Facilities","937","595","1537","3069"
"Community Work Centers","1151","573","3","1727"
"Community Trusties","7","5","5","17"
"Pending File Review","11","10","4","25"
"Court Order","148","129","54","331"
"TOTAL CUSTODY POPULATION","7489","5880","8556","21925"
"Intensive Supervison Program","467","669","34","1170"
"Earned Release Supervision","713","594","382","1689"
"Medical Release","4","2","2","8"
"Other Custody","132","104","70","306"
"At Large","22","46","18","86"
"Off-Grounds Medical (Hospital)","4","3","3","10"
