"location","drug_offenses","property_offenses","violent_offenses","total"
"MSP","937","779","2,196","3,912"
"CMCF","867","863","1,278","3,008"
"SMCI","915","825","1,344","3,084"
"County Jails (approved)","620","403","60","1,083"
"County Jails (unapproved)","86","74","39","199"
"Private Prisons","807","1,121","3,278","5,206"
"Regional Correctional Facilities","594","478","1,649","2,721"
"Community Work Centers","1,080","647","12","1,739"
"Community Trusties","7","3","6","16"
"Pending File Review","40","27","7","74"
"Court Order","104","101","52","257"
"TOTAL CUSTODY POPULATION","6,057","5,321","9,921","21,299"
"Intensive Supervison Program","699","700","41","1,440"
"Earned Release Supervision","381","453","514","1,348"
"Medical Release","18","10","8","36"
"Other Custody","136","117","96","349"
"At Large","11","24","8","43"
"Off-Grounds Medical (Hospital)","6","2","9","17"
